cabb,ccode,cname,gdp2005
INS,850,Indonesia,827400000000.0
AUL,900,Australia,611700000000.0
PNG,910,Papua New Guinea,11990000000.0
NEW,920,New Zealand,92510000000.0
VAN,935,Vanuatu,580000000.0
SOL,940,Solomon Islands,800000000.0
KIR,946,Kiribati,79000000.0
TUV,947,Tuvalu,12200000.0
FIJ,950,Fiji,5173000000.0
TON,955,Tonga,244000000.0
NAU,970,Nauru,60000000.0
PAL,986,Palau,174000000.0
WSM,990,Samoa,1000000000.0
