ccode1,ccode2,flow1,flow2,relative_import1,relative_import2,relative_export1,relative_export2,trade_importance
2,20,291943.5,195360.28,0.16893789186471023,0.5701275748520109,0.20489447735467814,0.8027211636459758,0.4366702769293438
2,31,726.2999900000001,1945.79,0.00042028539485194954,0.21802733097124594,0.0020407506842842317,0.2978941651311386,0.1295956330453802
2,40,0.0,397.87,0.0,0.05673091120334522,0.00041728730991328326,0.0,0.014287049628314626
2,41,458.5,756.90997,0.00026531854081344384,0.49700884051674327,0.0007938495619871916,0.8159538205755328,0.3285054572987692
2,42,4721.3999,5005.6099,0.002732115446160828,0.46914620697110454,0.005249899438626433,0.7704206300500758,0.3118872129764919
2,51,410.89999,2103.5134,0.00023777401475912467,0.43019585260417587,0.0022061714832798253,0.18570329461142343,0.15458577317840955
2,52,8342.2002,1583.01,0.004827350892557512,0.3010416020041782,0.0016602658769593749,0.6732988514944372,0.2452070175670331
2,53,33.400002,595.27936,1.9327458656065662e-05,0.3740753934433487,0.0006243308688297708,0.05529347129718277,0.10750313076700434
2,54,3.8,67.43,2.198932290274998e-06,0.25154824860790126,7.072079651004774e-05,0.042135742398747435,0.07343922768386225
2,55,6.0,90.639999,3.4719983530657863e-06,0.27776312976185913,9.506351660907504e-05,0.09296185735833153,0.0927058806587882
2,56,33.599998,148.06,1.9443189619835618e-05,0.21632469961242626,0.0001552857946207573,0.18689347683172902,0.10084822635709897
2,57,15.7,79.984604,9.085062357188806e-06,0.30059093537720405,8.388810475190197e-05,0.03652633568776329,0.08430256105801912
2,58,4.5999999,189.89999,2.6618653461504637e-06,0.2127625695800554,0.00019916770799421768,0.02526512297436772,0.05955738053194087
2,60,55.799999,138.82001,3.228958410484542e-05,0.4535125753108136,0.00014559486398832552,0.6465762132530469,0.2750666682529884
2,70,172484.8,130402.07,0.09981115692148025,0.5387971390061058,0.136766101986638,0.7966743338147845,0.39301218293225215
2,80,104.1,238.48,6.023917142569139e-05,0.30371431163512685,0.00025011857558529115,0.3158470348061725,0.15496792604707757
2,90,3342.3,4000.9392,0.0019340766825752963,0.3933774320185409,0.004196197642181123,0.5211936724972137,0.23017534471012774
2,91,3919.8,1821.2632,0.0022682565240578784,0.3932408973961056,0.001910146583989891,0.7325834052537357,0.2825006764394723
2,92,2052.5,2470.8872,0.0011877127699445877,0.3816206491887132,0.002591474282522343,0.5562864957701283,0.23542158300282712
2,93,1226.6,524.8319700000001,0.0007097921966450822,0.1994645538793301,0.0005504454241782215,0.6119243874780765,0.2031622947445575
2,94,3601.8,4050.8157,0.0020842406113453916,0.42424226407107807,0.004248508272570169,0.27648279516793756,0.1767644520307328
2,95,349.20001,1130.2162,0.0002020703099350927,0.33357970458145897,0.0011853743125101498,0.06991575624253885,0.10122072636161075
2,100,9424.2998,6012.6733,0.00545352556406637,0.2956122222138161,0.006306110706372493,0.39068368471708587,0.17451388580033522
2,101,35292.102,6894.3188,0.020422353336704956,0.3150825957442469,0.007230783285335851,0.6722633720252962,0.25374977609789595
2,110,133.10001,192.83,7.702050258550661e-05,0.26824040334514715,0.0002022407117163355,0.19377389999554293,0.11557339113874798
2,115,171.2,72.485672,9.906768634081043e-05,0.2223548480549731,7.602320123692812e-05,0.17307999354091894,0.09890248312086744
2,130,6214.7002,2031.9149,0.003596238143199602,0.19921451610513688,0.0021310787508324776,0.4961611165620871,0.17527573739031402
2,135,5395.3999,2370.0339,0.0031221365944885515,0.17956912964597124,0.002485699023636583,0.3093443345902259,0.12363032496358056
2,140,26220.6,14137.723,0.015172980002732792,0.17395855194396556,0.014827688438357132,0.19877266910033647,0.10068297237134799
2,145,307.60001,324.0264,0.00017799778802050323,0.13847482782992102,0.0003398399095103564,0.12352146235914414,0.065628531971649
2,150,61.5,189.48244,3.558798311892431e-05,0.057447488337697875,0.0001987297802382816,0.03391398924509742,0.022898948836538126
2,155,7446.3999,5129.2808,0.004308981364844873,0.16320045958152418,0.005379605868303349,0.17427005509432786,0.08678977547725006
2,160,4944.8999,4523.4019,0.0028614473848125287,0.1608264603045114,0.004744158168516435,0.11144276135218958,0.0699687068025075
2,165,784.2000099999999,260.84722999999997,0.0004537901905323621,0.06722434587920363,0.0002735773969010769,0.18054954928020567,0.06212531568671069
2,200,52380.301,36923.48,0.03031071980084836,0.07664872260904078,0.03872546219075808,0.13883716531355028,0.07113051747854937
2,205,28770.1,9466.6992,0.016648289969589662,0.14108786975679333,0.009928703955880639,0.2054258162100842,0.09327266997308696
2,210,15503.1,27537.152000000002,0.008971122944569032,0.07601583217938511,0.02888105180273252,0.04555720402580508,0.039856302738122934
2,211,13399.1,17070.183999999997,0.007753608855427296,0.05369721643484966,0.01790326277699944,0.049098745180169844,0.03211320831186156
