ccode1,ccode2,import_flow1,relative_import1,relative_export2,trade_importance
950,666,0.33000001,0.00023030259132433758,7.910215950003714e-06,5.9553201818585326e-05
990,666,0.133993,0.00020803348575087823,3.211859192940169e-06,5.28113362359546e-05
679,670,427.34872,0.08988054211286033,0.002540542671189121,0.03061758763149465
690,670,952.4798599999999,0.06252077254422042,0.005662391425387304,0.019425318616004904
692,670,1685.8156,0.27630704242689474,0.010021994373953642,0.10018817427072724
694,670,575.01825,0.057153463541576244,0.003418422315240569,0.016864877312978296
696,670,2076.1074,0.019373877751028026,0.012342237598538964,0.018817674950746432
698,670,253.55843,0.0287352129742526,0.0015073778881441828,0.011857046952813092
700,670,0.86684185,0.0002807084277623719,5.15328256768271e-06,0.0005785315692088439
701,670,32.985924,0.012849361161087081,0.00019609780853117173,0.003264520619518726
703,670,0.34,0.0003049247167906684,2.0212638245512966e-06,0.0008776691451264458
704,670,1.4754943999999999,0.00041344722324089387,8.771657217788295e-06,0.00010883117219845953
705,670,1.5248518,8.790098764031733e-05,9.065081709240967e-06,0.001143101370761259
710,670,12735.992,0.016785421314886053,0.0757141173511021,0.04370829197012746
712,670,0.0031000001,2.6011353538126034e-06,1.8429170759515886e-08,0.00015556882336091533
713,670,6761.1353,0.03978996795887004,0.04019422998466699,0.022719103291410966
731,670,44.360657,0.013533609041874244,0.0002637193859630243,0.010549037134637146
732,670,16105.792,0.061705427019720774,0.0957472198098461,0.050365890052241236
740,670,28575.432,0.055517455066139684,0.16987790286036913,0.08114379255763435
750,670,1549.5410000000002,0.015683159657260203,0.00921185637635012,0.018147868850427067
770,670,2819.4382,0.11327897641731621,0.016761260115347128,0.03664568997433837
771,670,292.50256,0.02280791111254279,0.0017388965974018972,0.006933901916513811
775,670,6.1362114000000005,0.001724691038696135,3.647912389005666e-05,0.0004952726968210817
780,670,147.83636,0.016567718514997457,0.0008788714306510069,0.006057532147784811
781,670,1.1310337,0.001519840494009928,6.723875006348245e-06,0.0005807661501737502
790,670,43.599998,0.02194002567976217,0.0002591973491409085,0.00557650831486887
800,670,4044.1042,0.03479152524775067,0.024041769182870473,0.021091130133202633
811,670,0.47868782,0.00018789636719617497,2.8457481582921253e-06,0.00015180827458095657
816,670,91.300003,0.0024893701301774134,0.0005427688036627201,0.0012710357414407666
820,670,1547.7615,0.013640626987366825,0.009201277438186033,0.008803676934129456
830,670,8957.7148,0.04510970290986146,0.05325266139966985,0.026281242379151554
835,670,2.1178329,0.0012879715662458561,1.259029125651342e-05,0.0003388668604061513
840,670,2181.9539,0.046026329612522406,0.01297148377914299,0.01547599754007988
850,670,2712.2754,0.04726264061076385,0.016124188671295288,0.019436801222285204
900,670,1125.104,0.008635639024553162,0.0066886235707587114,0.014637068078124055
920,670,262.38214,0.010044751915363788,0.001559833905265746,0.0075784867442333995
990,670,0.0024079999,3.73858793283803e-06,1.4315303198215115e-08,7.91708279039714e-06
690,679,128.84225,0.008457204550588172,0.021813096601168726,0.026404830246252925
692,679,0.58532709,9.5935757795954e-05,9.909634733521793e-05,0.0007152424647360758
694,679,0.80114561,7.962920552978772e-05,0.00013563459643503776,0.0003588851829043145
696,679,234.16847,0.002185219951012782,0.03964491040057032,0.06057272220304089
698,679,8.5625353,0.0009703730830209664,0.0014496441163501666,0.004909791749009204
710,679,2731.5784,0.003600088183051806,0.46245842115351066,0.13225476536028358
